158,4,27,0,10/14/2015,0
159,1,162,0,10/14/2015,0
160,3,48.6,0,11/18/2015,0
161,4,28,0,11/18/2015,0
162,1,164,0,11/18/2015,0
163,4,26,0,11/19/2015,0
164,4,30,0,2/3/2016,0
165,3,46,0,2/3/2016,0
166,1,166,0,2/3/2016,0
167,2,115,0,2/3/2016,0
168,4,32.5,0,8/25/2016,0
169,3,51,0,8/30/2016,0
170,2,117,0,8/30/2016,0
171,1,172,0,8/30/2016,0
172,1,178,0,4/9/2017,0
173,4,35.6,0,6/15/2017,0
174,2,118,0,6/15/2017,0
175,3,53.2,0,6/18/2017,0
176,1,176,0,8/15/2017,0
178,2,116,0,8/15/2017,0
179,3,56,0,8/15/2017,0
180,4,36,0,8/15/2017,0
181,4,36,0,8/28/2017,0
182,3,55.4,0,8/28/2017,0
183,2,118,0,8/30/2017,0
184,1,175.4,0,8/30/2017,0
185,2,118,0,9/17/2017,0
186,3,55,0,9/17/2017,0
187,1,175,0,9/17/2017,0
188,2,119,0,9/22/2017,0
189,4,36.4,0,9/22/2017,0
190,3,56.2,0,9/22/2017,0
191,1,177,0,10/12/2017,0
